,cast,country,date_added,director,duration,listed_in,rating,ratingLevel,release_year,title,type
22,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",Unknown,2021-09-21,K.S. Ravikumar,161 min,"Comedies, International Movies",TV-PG,This movie has not been rated.,1996,Avvai Shanmughi,Movie
23,"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",Unknown,2021-09-21,"Alex Woo, Stanley Moore",61 min,Children & Family Movies,TV-Y,This movie has not been rated.,2021,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie
24,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,2021-09-21,S. Shankar,166 min,"Comedies, International Movies, Romantic Movies",TV-14,For mature audiences.  May not be suitable for children 17 and under.,1998,Jeans,Movie
25,Brooke Satchwell,Australia,2021-09-21,Unknown,2 Seasons,"Docuseries, International TV Shows, Reality TV",TV-14,Unknown,2021,Love on the Spectrum,TV Show
26,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",Unknown,2021-09-21,Rajiv Menon,147 min,"Comedies, International Movies, Music & Musicals",TV-PG,For mature audiences.  May not be suitable for children 17 and under.,1997,Minsara Kanavu,Movie
27,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,2021-09-20,Dennis Dugan,103 min,Comedies,PG-13,Parental guidance suggested. May not be suitable for all children.,2010,Grown Ups,Movie
28,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2021-09-19,Scott Stewart,97 min,"Horror Movies, Sci-Fi & Fantasy",PG-13,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,Dark Skies,Movie
29,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",2021-09-19,Robert Luketic,106 min,Thrillers,PG-13,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,Paranoia,Movie
30,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",Unknown,2021-09-17,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",111 min,"Dramas, Independent Movies, International Movies",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2021,Ankahi Kahaniya,Movie
31,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",Unknown,2021-09-17,Unknown,1 Season,TV Comedies,TV-MA,Unknown,2021,Chicago Party Aunt,TV Show
32,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2021-09-17,Unknown,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2020,Sex Education,TV Show
33,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",Unknown,2021-09-17,Unknown,1 Season,"International TV Shows, TV Dramas, TV Thrillers",TV-MA,Suitable for children ages 7 and older.  Content contains fantasy violence.,2021,Squid Game,TV Show
34,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Unknown,2021-09-17,Unknown,1 Season,Kids' TV,TV-Y7,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2020,Tayo and Little Wizards,TV Show
35,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",Unknown,2021-09-17,Daniel Sandu,110 min,"Dramas, International Movies, Thrillers",TV-MA,"bloody war violence, language throughout and some sexual material",2021,The Father Who Moves Mountains,Movie
36,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",Unknown,2021-09-17,Cédric Jimenez,105 min,"Action & Adventure, Dramas, International Movies",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2021,The Stronghold,Movie
37,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2021-09-16,Unknown,1 Season,"Kids' TV, TV Comedies",TV-Y7,This movie has not been rated.,2018,Angry Birds,TV Show
38,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2021-09-16,George Nolfi,96 min,"Action & Adventure, Dramas",PG-13,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",2017,Birth of the Dragon,Movie
39,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021-09-16,Unknown,3 Seasons,Kids' TV,TV-Y7,Unknown,2021,Chhota Bheem,TV Show
40,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021-09-16,Unknown,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",TV-Y7,For mature audiences.  May not be suitable for children 17 and under.,2021,He-Man and the Masters of the Universe,TV Show
41,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,2021-09-16,Steven Spielberg,124 min,"Action & Adventure, Classic Movies, Dramas",PG,For mature audiences.  May not be suitable for children 17 and under.,1975,Jaws,Movie
42,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,2021-09-16,Jeannot Szwarc,116 min,"Dramas, Horror Movies, Thrillers",PG,Unknown,1978,Jaws 2,Movie
43,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,2021-09-16,Joe Alves,98 min,"Action & Adventure, Horror Movies, Thrillers",PG,For mature audiences.  May not be suitable for children 17 and under.,1983,Jaws 3,Movie
44,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,2021-09-16,Joseph Sargent,91 min,"Action & Adventure, Horror Movies, Thrillers",PG-13,Unknown,1987,Jaws: The Revenge,Movie
45,Unknown,Unknown,2021-09-16,Tyler Greco,23 min,Documentaries,PG,Unknown,2021,My Heroes Were Cowboys,Movie
46,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",2021-09-16,Daniel Espinosa,115 min,Action & Adventure,R,Unknown,2012,Safe House,Movie
47,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",Unknown,2021-09-16,Bunmi Ajakaiye,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,This movie has not been rated.,2020,The Smart Money Woman,TV Show
48,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,2021-09-16,Antoine Fuqua,122 min,"Dramas, Thrillers",R,Unknown,2001,Training Day,Movie
49,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,2021-09-15,Unknown,2 Seasons,"International TV Shows, TV Dramas",TV-MA,Unknown,2021,Castle and Castle,TV Show
50,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,2021-09-15,Unknown,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-PG,"strong violence, sexual content and adult language",2014,Dharmakshetra,TV Show
51,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,2021-09-15,Toshiya Shinohara,99 min,"Action & Adventure, Anime Features, International Movies",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2002,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie
52,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,2021-09-15,Toshiya Shinohara,99 min,"Action & Adventure, Anime Features, International Movies",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2003,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie
53,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,2021-09-15,Toshiya Shinohara,88 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2004,InuYasha the Movie 4: Fire on the Mystic Island,Movie
54,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,2021-09-15,Toshiya Shinohara,100 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2001,InuYasha the Movie: Affections Touching Across Time,Movie
55,"Nicole Byer, Jacques Torres",United States,2021-09-15,Unknown,6 Seasons,Reality TV,TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Nailed It,TV Show
56,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,2021-09-15,Masahiko Murata,102 min,"Action & Adventure, Anime Features, International Movies",TV-14,Parental guidance suggested. May not be suitable for all children.,2011,Naruto Shippuden the Movie: Blood Prison,Movie
57,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,2021-09-15,Hajime Kamegaki,93 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2008,Naruto Shippûden the Movie: Bonds,Movie
58,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,2021-09-15,Masahiko Murata,96 min,"Action & Adventure, Anime Features, International Movies",TV-PG,For mature audiences.  May not be suitable for children 17 and under.,2009,Naruto Shippûden the Movie: The Will of Fire,Movie
59,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,2021-09-15,Hajime Kamegaki,95 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2007,Naruto Shippuden: The Movie,Movie
60,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,2021-09-15,Masahiko Murata,85 min,"Action & Adventure, Anime Features, International Movies",TV-14,Parental guidance suggested. May not be suitable for all children.,2010,Naruto Shippuden: The Movie: The Lost Tower,Movie
61,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,2021-09-15,Hirotsugu Kawasaki,97 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2005,Naruto the Movie 2: Legend of the Stone of Gelel,Movie
62,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,2021-09-15,Toshiyuki Tsuru,95 min,"Action & Adventure, Anime Features, International Movies",TV-PG,For mature audiences.  May not be suitable for children 17 and under.,2006,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie
63,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,2021-09-15,Tensai Okamura,83 min,"Action & Adventure, Anime Features, International Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2004,Naruto the Movie: Ninja Clash in the Land of Snow,Movie
64,"Winslow Fegley, Lidya Jewett, Krysten Ritter",Unknown,2021-09-15,David Yarovesky,103 min,Children & Family Movies,TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Nightbooks,Movie
65,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,2021-09-15,Unknown,6 Seasons,Kids' TV,TV-Y,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Numberblocks,TV Show
66,Unknown,India,2021-09-15,Unknown,1 Season,"Docuseries, International TV Shows",TV-G,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,Raja Rasoi Aur Anya Kahaniyan,TV Show
67,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,2021-09-15,Unknown,9 Seasons,"Kids' TV, TV Comedies",TV-PG,For mature audiences.  May not be suitable for children 17 and under.,1994,Saved by the Bell,TV Show
68,Michael Schumacher,Unknown,2021-09-15,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",113 min,"Documentaries, International Movies, Sports Movies",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Schumacher,Movie
69,Unknown,India,2021-09-15,Unknown,1 Season,"International TV Shows, TV Dramas",TV-PG,For mature audiences.  May not be suitable for children 17 and under.,2015,Stories by Rabindranath Tagore,TV Show
70,Itatí Cantoral,Unknown,2021-09-15,Unknown,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Too Hot To Handle: Latino,TV Show
71,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",Unknown,2021-09-14,David A. Vargas,13 min,Children & Family Movies,TV-Y,For mature audiences.  May not be suitable for children 17 and under.,2021,A StoryBots Space Adventure,Movie
72,"Jack Whitehall, Michael Whitehall",United Kingdom,2021-09-14,Unknown,5 Seasons,"British TV Shows, Docuseries, International TV Shows",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2021,Jack Whitehall: Travels with My Father,TV Show
73,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2021-09-14,Kemi Adetiba,182 min,"Dramas, International Movies",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2018,King of Boys,Movie
74,Unknown,Unknown,2021-09-14,Unknown,2 Seasons,Reality TV,TV-PG,For mature audiences.  May not be suitable for children 17 and under.,2021,The World's Most Amazing Vacation Rentals,TV Show
75,"Bear Grylls, Jason Derek Prempeh",Unknown,2021-09-14,Ben Simms,106 min,Children & Family Movies,TV-G,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,You vs. Wild: Out Cold,Movie
76,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,2021-09-14,Unknown,1 Season,"Anime Series, International TV Shows",TV-14,This movie has not been rated.,2013,Yowamushi Pedal,TV Show
77,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",Unknown,2021-09-11,Prakash Satam,48 min,"Children & Family Movies, Comedies",TV-Y7,Unknown,2021,Little Singham - Black Shadow,Movie
78,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11,Delhiprasad Deenadayalan,145 min,"Comedies, Dramas, International Movies",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2020,Tughlaq Durbar,Movie
79,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11,Delhiprasad Deenadayalan,145 min,"Comedies, Dramas, International Movies",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Tughlaq Durbar (Telugu),Movie
80,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",Unknown,2021-09-10,Tomer Eshed,93 min,Children & Family Movies,TV-Y7,For mature audiences.  May not be suitable for children 17 and under.,2021,Firedrake the Silver Dragon,Movie
81,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021-09-10,Cedric Nicolas-Troyan,106 min,Action & Adventure,R,For mature audiences.  May not be suitable for children 17 and under.,2021,Kate,Movie
